symbol,rank,sector,industry
SIGM,4,Sigma Designs Inc.,Technology,Semiconductors
WEN,2,Wendy&#39;s Company (The),Consumer Services,Restaurants
WES,3,Western Gas Partners LP,Public Utilities,Natural Gas Distribution
PSDV,3,pSivida Corp.,Capital Goods,Biotechnology: Laboratory Analytical Instruments
SZYM,0,Solazyme Inc.,Basic Industries,Major Chemicals
VMBS,0,Vanguard Mortgage-Backed Securities ETF,n/a,n/a
WEX,4,WEX Inc.,Miscellaneous,Business Services
ANAT,0,American National Insurance Company,Finance,Life Insurance
ANAD,3,ANADIGICS Inc.,Technology,Semiconductors
ANAC,3,Anacor Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
NVRO,3,Nevro Corp.,Health Care,Medical/Dental Instruments
AMAG,1,AMAG Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
SWC,5,Stillwater Mining Company,Basic Industries,Precious Metals
KN,3,Knowles Corporation,Consumer Non-Durables,Consumer Electronics/Appliances
AMAT,3,Applied Materials Inc.,Technology,Semiconductors
SSNC,2,SS&C Technologies Holdings Inc.,Technology,Computer Software: Prepackaged Software
OIBR,4,Oi S.A.,Public Utilities,Telecommunications Equipment
SSNI,4,Silver Spring Networks Inc.,Technology,Computer Communications Equipment
KR,2,Kroger Company (The),Consumer Services,Food Chains
CRDS,0,Crossroads Systems Inc.,Technology,Computer peripheral equipment
CRDT,0,WisdomTree Global Corporate Bond Fund,n/a,n/a
CRDI,-1,China Resources Development Inc.,n/a,n/a
CRDC,3,Cardica Inc.,Health Care,Medical/Dental Instruments
K,3,Kellogg Company,Consumer Non-Durables,Packaged Foods
AGNC,1,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts
NFEC,0,NF Energy Saving Corporation,Capital Goods,Metal Fabrications
MCGC,3,MCG Capital Corporation,n/a,n/a
UMPQ,3,Umpqua Holdings Corporation,Finance,Savings Institutions
NFJ,-1,AllianzGI NFJ Dividend Interest & Premium Strategy Fund,Finance,Finance: Consumer Services
JMEI,3,Jumei International Holding Limited,Consumer Services,Other Specialty Stores
RDUS,3,Radius Health Inc.,Health Care,Major Pharmaceuticals
BLL,4,Ball Corporation,Consumer Durables,Containers/Packaging
BLH,-1,Blackrock New York Municipal 2018 Term Trust,n/a,n/a
HRTX,3,Heron Therapeutics Inc.  ,Health Care,Major Pharmaceuticals
BSPM,0,Biostar Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
BLJ,-1,Blackrock New Jersey Municipal Bond Trust,n/a,n/a
BLE,-1,BlackRock Municipal Income Trust II,n/a,n/a
FDEF,3,First Defiance Financial Corp.,Finance,Savings Institutions
HRTG,3,Heritage Insurance Holdings Inc.,Finance,Property-Casualty Insurers
VRS,0,Verso Paper Corp.,Basic Industries,Paper
HCI,1,HCI Group Inc.,Finance,Property-Casualty Insurers
TORM,0,TOR Minerals International Inc,Basic Industries,Major Chemicals
PPBI,3,Pacific Premier Bancorp Inc,Finance,Major Banks
VRA,4,Vera Bradley Inc.,Consumer Non-Durables,Apparel
RUSHB,0,Rush Enterprises Inc.,Consumer Durables,Automotive Aftermarket
RUSHA,4,Rush Enterprises Inc.,Consumer Durables,Automotive Aftermarket
TVE,-1,Tennessee Valley Authority,Public Utilities,Electric Utilities: Central
WERN,2,Werner Enterprises Inc.,Transportation,Trucking Freight/Courier Services
TVC,-1,Tennessee Valley Authority,Public Utilities,Electric Utilities: Central
GALT,0,Galectin Therapeutics Inc.,Health Care,Major Pharmaceuticals
JDSU,3,JDS Uniphase Corporation,Technology,Semiconductors
GALE,4,Galena Biopharma Inc.,Health Care,Major Pharmaceuticals
HDRA,-1,Hydra Industries Acquisition Corp.,n/a,n/a
SORL,4,SORL Auto Parts Inc.,Capital Goods,Auto Parts:O.E.M.
USNA,0,USANA Health Sciences Inc.,Consumer Durables,Specialty Chemicals
TXTR,4,Textura Corporation,Technology,Computer Software: Prepackaged Software
OSUR,2,OraSure Technologies Inc.,Health Care,Medical/Dental Instruments
QTWO,3,Q2 Holdings Inc.,Technology,Computer Software: Prepackaged Software
QTWW,3,Quantum Fuel Systems Technologies Worldwide Inc.,Capital Goods,Auto Parts:O.E.M.
HPY,3,Heartland Payment Systems Inc.,Miscellaneous,Business Services
HPS,-1,John Hancock Preferred Income Fund III,n/a,n/a
KONA,1,Kona Grill Inc.,Consumer Services,Restaurants
HPQ,3,Hewlett-Packard Company,Technology,Computer Manufacturing
HPP,2,Hudson Pacific Properties Inc.,Finance,Real Estate
TACT,4,TransAct Technologies Incorporated,Technology,Computer peripheral equipment
KONE,0,Kingtone Wirelessinfo Solution Holding Ltd,Technology,EDP Services
HPT,2,Hospitality Properites Trust,Consumer Services,Real Estate Investment Trusts
HPJ,3,Highpower International Inc,Miscellaneous,Industrial Machinery/Components
HPI,-1,John Hancock Preferred Income Fund,n/a,n/a
BCEI,4,Bonanza Creek Energy Inc.,Energy,Oil & Gas Production
CBSTZ,-1,Cubist Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
HPF,-1,John Hancock Pfd Income Fund II,n/a,n/a
MTBC,0,Medical Transcription Billing Corp.,Technology,Computer Software: Prepackaged Software
SGOC,0,SGOCO Group Ltd,Technology,Radio And Television Broadcasting And Communications Equipment
OHI,2,Omega Healthcare Investors Inc.,Consumer Services,Real Estate Investment Trusts
IOT,0,Income Opportunity Realty Investors Inc.,Consumer Services,Real Estate Investment Trusts
UIL,4,UIL Holdings Corporation,Public Utilities,Electric Utilities: Central
GBNK,3,Guaranty Bancorp,Finance,Major Banks
UIS,2,Unisys Corporation,Technology,EDP Services
IOC,3,InterOil Corporation,Energy,Oil & Gas Production
D,3,Dominion Resources Inc.,Public Utilities,Electric Utilities: Central
RXN,4,Rexnord Corporation,Technology,Industrial Machinery/Components
HCOM,3,Hawaiian Telcom Holdco Inc.,Consumer Services,Telecommunications Equipment
CLFD,3,Clearfield Inc.,Public Utilities,Telecommunications Equipment
STLD,3,Steel Dynamics Inc.,Basic Industries,Steel/Iron Ore
BSFT,2,BroadSoft Inc.,Technology,Computer Software: Prepackaged Software
LECO,4,Lincoln Electric Holdings Inc.,Technology,Industrial Machinery/Components
SMPL,3,Simplicity Bancorp Inc.,Finance,Savings Institutions
SANWZ,-1,S&W Seed Company,Consumer Non-Durables,Farming/Seeds/Milling
STLY,3,Stanley Furniture Company Inc.,Consumer Durables,Home Furnishings
HY,4,Hyster-Yale Materials Handling Inc.,Capital Goods,Construction/Ag Equipment/Trucks
HR,2,Healthcare Realty Trust Incorporated,Consumer Services,Real Estate Investment Trusts
HP,3,Helmerich & Payne Inc.,Energy,Oil & Gas Production
HW,1,Headwaters Incorporated,Capital Goods,Building Materials
HT,2,Hersha Hospitality Trust,Consumer Services,Real Estate Investment Trusts
HK,3,Halcon Resources Corporation,Energy,Oil & Gas Production
HH,0,Hooper Holmes Inc.,Health Care,Hospital/Nursing Management
HI,3,Hillenbrand Inc,Consumer Durables,Miscellaneous manufacturing industries
HL,3,Hecla Mining Company,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
HA,1,Hawaiian Holdings Inc.,Transportation,Air Freight/Delivery Services
CTIB,0,CTI Industries Corporation,Basic Industries,Specialty Chemicals
CTIC,3,CTI BioPharma Corp.,Health Care,Major Pharmaceuticals
HD,3,Home Depot Inc. (The),Consumer Services,RETAIL: Building Materials
HE,3,Hawaiian Electric Industries Inc.,Public Utilities,Electric Utilities: Central
SCM,3,Stellus Capital Investment Corporation,n/a,n/a
SCL,2,Stepan Company,Basic Industries,Package Goods/Cosmetics
SCI,3,Service Corporation International,Consumer Services,Other Consumer Services
TBBK,2,The Bancorp Inc.,Finance,Major Banks
MNP,0,Western Asset Municipal Partners Fund Inc.,n/a,n/a
SCD,-1,LMP Capital and Income Fund Inc.,n/a,n/a
MNR,0,Monmouth Real Estate Investment Corporation,Consumer Services,Real Estate Investment Trusts
MNI,3,McClatchy Company (The),Consumer Services,Newspapers/Magazines
MNK,3,Mallinckrodt plc,Health Care,Major Pharmaceuticals
SCX,0,L.S. Starrett Company (The),Capital Goods,Industrial Machinery/Components
SCU,-1,Scana Corporation,Public Utilities,Power Generation
ACOR,3,Acorda Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SCQ,-1,Stellus Capital Investment Corporation,n/a,n/a
MNE,-1,Blackrock Muni New York Intermediate Duration Fund Inc,n/a,n/a
SCS,2,Steelcase Inc.,Consumer Durables,Office Equipment/Supplies/Services
PBT,0,Permian Basin Royalty Trust,Energy,Oil & Gas Production
AUXL,0,Auxilium Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
PBR,3,Petroleo Brasileiro S.A.- Petrobras,Energy,Oil & Gas Production
PBY,5,Pep Boys-Manny Moe & Jack (The),Consumer Services,Other Specialty Stores
PBF,3,PBF Energy Inc.,Energy,Integrated oil Companies
PBA,4,Pembina Pipeline Corp.,Energy,Oil & Gas Production
PBM,0,Pacific Booker Minerals Inc,Basic Industries,Precious Metals
YHOO,3,Yahoo! Inc.,Technology,EDP Services
PBI,3,Pitney Bowes Inc.,Miscellaneous,Office Equipment/Supplies/Services
PBH,3,Prestige Brand Holdings Inc.,Health Care,Major Pharmaceuticals
FENG,4,Phoenix New Media Limited,Consumer Services,Broadcasting
FCVA,0,First Capital Bancorp Inc. (VA),Finance,Major Banks
VVUS,3,VIVUS Inc.,Health Care,Major Pharmaceuticals
THST,3,Truett-Hurst Inc.,Consumer Non-Durables,Beverages (Production/Distribution)
TJX,3,TJX Companies Inc. (The),Consumer Services,Clothing/Shoe/Accessory Stores
PRMW,3,Primo Water Corporation,Consumer Non-Durables,Food Distributors
BTUI,0,BTU International Inc.,Technology,Industrial Machinery/Components
OBCI,0,Ocean Bio-Chem Inc.,Consumer Durables,Specialty Chemicals
SQQQ,0,ProShares UltraPro Short QQQ ,n/a,n/a
NMIH,2,NMI Holdings Inc,Finance,Property-Casualty Insurers
CRMD/WS,-1,CorMedix Inc,n/a,n/a
GMK,3,GRUMA S.A. de C.V.,Consumer Non-Durables,Packaged Foods
FSCE,-1,Fifth Street Finance Corp.,n/a,n/a
ADT,4,ADT Corporation,Consumer Services,Diversified Commercial Services
GMO,3,General Moly Inc,Basic Industries,Precious Metals
ADS,3,Alliance Data Systems Corporation,Miscellaneous,Business Services
ADP,4,Automatic Data Processing Inc.,Technology,EDP Services
GMC,-1,Global Market Group Limited,n/a,n/a
ADX,0,Adams Express Company (The),n/a,n/a
GMZ,-1,Goldman Sachs Group Inc. (The),Finance,Investment Bankers/Brokers/Service
ADC,2,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
UHAL,3,Amerco,Consumer Services,Rental/Leasing Companies
ADM,3,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods
GTN/A,-1,Gray Television Inc.,Consumer Services,Broadcasting
ADK,3,Adcare Health Systems Inc,Health Care,Hospital/Nursing Management
ADI,3,Analog Devices Inc.,Technology,Semiconductors
RIGL,3,Rigel Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
BRX,3,Brixmor Property Group Inc.,Consumer Services,Real Estate Investment Trusts
BRT,0,BRT Realty Trust,Consumer Services,Real Estate Investment Trusts
BRS,5,Bristow Group Inc,Transportation,Transportation Services
NSSC,3,NAPCO Security Technologies Inc.,Consumer Durables,Telecommunications Equipment
BRO,3,Brown & Brown Inc.,Finance,Specialty Insurers
BRN,0,Barnwell Industries Inc.,Energy,Oil & Gas Production
DJCO,0,Daily Journal Corp. (S.C.),Consumer Services,Newspapers/Magazines
RIGP,2,Transocean Partners LLC,Energy,Oil & Gas Production
BRC,2,Brady Corporation,Consumer Durables,Miscellaneous manufacturing industries
JUNO,3,Juno Therapeutics Inc.,n/a,n/a
HF,3,HFF Inc.,Consumer Services,Real Estate
LNTH,-1,Lantheus Holdings Inc.,n/a,n/a
ARKR,0,Ark Restaurants Corp.,Consumer Services,Restaurants
ESV,5,ENSCO plc,Energy,Oil & Gas Production
ESS,3,Essex Property Trust Inc.,Consumer Services,Real Estate Investment Trusts
ESP,0,Espey Mfg. & Electronics Corp.,Capital Goods,Industrial Machinery/Components
ESE,3,ESCO Technologies Inc.,Consumer Durables,Telecommunications Equipment
ESL,0,Esterline Technologies Corporation,Capital Goods,Industrial Machinery/Components
ESI,5,ITT Educational Services Inc.,Consumer Services,Other Consumer Services
FBMS,3,The First Bancshares Inc.,Finance,Major Banks
SMCI,3,Super Micro Computer Inc.,Technology,Computer Manufacturing
DSPG,3,DSP Group Inc.,Technology,Semiconductors
CECE,4,CECO Environmental Corp.,Capital Goods,Pollution Control Equipment
SCG,3,Scana Corporation,Public Utilities,Power Generation
CECO,3,Career Education Corporation,Consumer Services,Other Consumer Services
MARPS,0,Marine Petroleum Trust,Energy,Oil & Gas Production
VGGL,3,Viggle Inc.,Technology,Computer Software: Programming Data Processing
CLRBW,-1,Cellectar Biosciences Inc.,Health Care,Major Pharmaceuticals
LTM,3,Life Time Fitness,Consumer Services,Hotels/Resorts
FULL,3,Full Circle Capital Corporation,n/a,n/a
ONEQ,0,Fidelity Nasdaq Composite Index Tracking Stock,n/a,n/a
CRRC,0,Courier Corporation,Consumer Services,Publishing
BRK/B,-1,Berkshire Hathaway Inc.,Finance,Property-Casualty Insurers
FULT,2,Fulton Financial Corporation,Finance,Major Banks
MPW,2,Medical Properties Trust Inc.,Consumer Services,Real Estate Investment Trusts
ENZN,0,Enzon Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RFIL,0,RF Industries Ltd.,Capital Goods,Electrical Products
EGBN,3,Eagle Bancorp Inc.,Finance,Major Banks
DAIO,0,Data I/O Corporation,Capital Goods,Electrical Products
ENZY,3,Enzymotec Ltd.,Consumer Durables,Specialty Chemicals
BPFHP,-1,Boston Private Financial Holdings Inc.,Finance,Major Banks
SREV,3,ServiceSource International Inc.,Miscellaneous,Business Services
CENTA,0,Central Garden & Pet Company,Consumer Durables,Consumer Specialties
GRMN,4,Garmin Ltd.,Capital Goods,Industrial Machinery/Components
DOOR,3,Masonite International Corporation,Basic Industries,Forest Products
WGL,1,WGL Holdings Inc,Public Utilities,Oil/Gas Transmission
WGO,5,Winnebago Industries Inc.,Consumer Non-Durables,Homebuilding
JAKK,3,JAKKS Pacific Inc.,Consumer Non-Durables,Recreational Products/Toys
TWIN,3,Twin Disc Incorporated,Technology,Industrial Machinery/Components
WGP,4,Western Gas Equity Partners LP,Public Utilities,Natural Gas Distribution
CHUY,4,Chuy&#39;s Holdings Inc.,Consumer Services,Restaurants
DEPO,2,Depomed Inc.,Health Care,Major Pharmaceuticals
GB,3,Greatbatch Inc.,Miscellaneous,Industrial Machinery/Components
EBIO,3,Eleven Biotherapeutics Inc.,Health Care,Major Pharmaceuticals
SSLT,0,Sesa Sterlite Limited,Capital Goods,Metal Fabrications
AMGN,1,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HURN,3,Huron Consulting Group Inc.,Consumer Services,Professional Services
EBIX,2,Ebix Inc.,Technology,EDP Services
HURC,0,Hurco Companies Inc.,Capital Goods,Industrial Machinery/Components
XXII,0,22nd Century Group Inc,Consumer Non-Durables,Farming/Seeds/Milling
LBMH,0,Liberator Medical Holdings Inc.,Health Care,Medical/Nursing Services
GFNSL,-1,General Finance Corporation,Consumer Services,Other Specialty Stores
XXIA,3,Ixia,Capital Goods,Electrical Products
LOXO,3,Loxo Oncology Inc.,Health Care,Major Pharmaceuticals
ELLI,1,Ellie Mae Inc.,Technology,Computer Software: Prepackaged Software
CVM/WS,-1,Cel-Sci Corporation,n/a,n/a
ELLO,0,Ellomay Capital Ltd.,Public Utilities,Electric Utilities: Central
PAHC,3,Phibro Animal Health Corporation,Health Care,Major Pharmaceuticals
NTCT,3,NetScout Systems Inc.,Technology,EDP Services
ZAZA,0,ZaZa Energy Corporation,Energy,Oil & Gas Production
CATYW,-1,Cathay General Bancorp,Finance,Major Banks
FFNW,0,First Financial Northwest Inc.,Finance,Banks
FFNM,0,First Federal of Northern Michigan Bancorp Inc.,Finance,Major Banks
VPV,0,Invesco Pennsylvania Value Municipal Income Trust,n/a,n/a
VPG,0,Vishay Precision Group Inc.,Capital Goods,Electrical Products
WETF,2,WisdomTree Investments Inc.,Finance,Investment Bankers/Brokers/Service
ZIONZ,-1,Zions Bancorporation,Finance,Major Banks
RESI,2,Altisource Residential Corporation,Finance,Real Estate
RESN,0,Resonant Inc.,Technology,Semiconductors
PFMT,3,Performant Financial Corporation,Consumer Services,Other Consumer Services
PBIP,0,Prudential Bancorp Inc.,Finance,Banks
MICT,0,Micronet Enertec Technologies Inc.,Capital Goods,Electrical Products
THG,2,The Hanover Insurance Group Inc.,Finance,Property-Casualty Insurers
AFGE,-1,American Financial Group Inc.,Finance,Property-Casualty Insurers
PBIB,0,Porter Bancorp Inc.,Finance,Major Banks
PIKE,-1,Pike Corporation,Capital Goods,Engineering & Construction
RARE,2,Ultragenyx Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
CKX,0,CKX Lands Inc.,Energy,Oil & Gas Production
MLVF,2,Malvern Bancorp Inc.,Finance,Banks
GERN,3,Geron Corporation,Health Care,Major Pharmaceuticals
TDIV,0,First Trust Exchange-Traded Fund VI First Trust NASDAQ Technol,n/a,n/a
DSKY,1,iDreamSky Technology Limited,Technology,Computer Software: Prepackaged Software
ATAI,0,ATA Inc.,Consumer Services,Other Consumer Services
TPC,2,Tutor Perini Corporation,Basic Industries,General Bldg Contractors - Nonresidential Bldgs
HRT,0,Arrhythmia Research Technology Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ICLDW,-1,InterCloud Systems Inc,Miscellaneous,Business Services
TPL,0,Texas Pacific Land Trust,Energy,Oil & Gas Production
HRS,1,Harris Corporation,Capital Goods,Industrial Machinery/Components
HLIT,2,Harmonic Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
ATAX,3,America First Multifamily Investors L.P.,Finance,Finance: Consumer Services
HRL,3,Hormel Foods Corporation,Consumer Non-Durables,Meat/Poultry/Fish
HRG,0,Harbinger Group Inc,Miscellaneous,Industrial Machinery/Components
TPZ,-1,Tortoise Power and Energy Infrastructure Fund Inc,n/a,n/a
HRC,3,Hill-Rom Holdings Inc,Health Care,Medical/Dental Instruments
KODK,0,Eastman Kodak Company,Miscellaneous,Industrial Machinery/Components
HNNA,0,Hennessy Advisors Inc.,Finance,Investment Managers
SGYPW,-1,Synergy Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
SGYPU,-1,Synergy Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
MTDR,4,Matador Resources Company,Energy,Oil & Gas Production
PNNT,4,PennantPark Investment Corporation,n/a,n/a
SGMA,0,SigmaTron International Inc.,Technology,Electrical Products
UGI,3,UGI Corporation,Public Utilities,Natural Gas Distribution
SGMO,3,Sangamo BioSciences Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SGMS,4,Scientific Games Corp,Technology,EDP Services
SNSS,2,Sunesis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
UGP,3,Ultrapar Participacoes S.A.,Public Utilities,Oil/Gas Transmission
ENB,3,Enbridge Inc,Energy,Natural Gas Distribution
RFP,3,Resolute Forest Products Inc.,Basic Industries,Paper
ENG,0,ENGlobal Corporation,Consumer Services,Military/Government/Technical
ENH,4,Endurance Specialty Holdings Ltd,Finance,Property-Casualty Insurers
ENI,2,Enersis S A,Public Utilities,Electric Utilities: Central
ENL,3,Reed Elsevier NV,Consumer Services,Publishing
ENR,3,Energizer Holdings Inc.,Miscellaneous,Industrial Machinery/Components
ENS,3,Enersys,Consumer Non-Durables,Telecommunications Equipment
ENT,3,Global Eagle Entertainment Inc.,Consumer Services,Telecommunications Equipment
